TankNumber,TileNumber,SampleDate,NumDate,FilterWt,DryWt,AshedWt,AFDM
7,4,11-Jul-2010,192.00,0.1255,0.1309,0.1287,0.0022
7,5,11-Jul-2010,192.00,0.1252,0.1317,0.1292,0.0025
11,1,11-Jul-2010,192.00,0.1189,0.125,0.1225,0.0025
11,2,11-Jul-2010,192.00,0.1248,0.1294,0.1267,0.0027
11,3,11-Jul-2010,192.00,0.1245,0.1307,0.1285,0.0022
11,4,11-Jul-2010,192.00,0.1243,0.1297,0.1271,0.0026
11,5,11-Jul-2010,192.00,0.1241,0.1294,0.1267,0.0027
13,1,11-Jul-2010,192.00,0.1191,0.1301,0.1276,0.0025
13,2,11-Jul-2010,192.00,0.1244,0.1286,0.1265,0.0021
13,3,11-Jul-2010,192.00,0.1265,0.1335,0.1307,0.0028
13,4,11-Jul-2010,192.00,0.125,0.1311,0.129,0.0021
13,5,11-Jul-2010,192.00,0.1248,0.128,0.1261,0.0019
