TadpoleDensity,MayflyDensity,GrowthPeriod,FilterWt,DryWt,AshedWt,AFDM,IM,AFDM/cm2/d
0,0,9,0.035,0.041,0.0391,0.0019,0.0041,3.32563E-06
16,0,8,0.0346,0.0403,0.0387,0.0016,0.0041,3.1506E-06
16,250,8,0.0354,0.0388,0.0374,0.0014,0.002,2.75677E-06
16,250,8,0.0346,0.0387,0.037,0.0017,0.0024,3.34751E-06
16,0,8,0.0339,0.039,0.0377,0.0013,0.0038,2.55986E-06
0,0,8,0.0351,0.0388,0.037,0.0018,0.0019,3.54442E-06
0,0,8,0.0348,0.0365,0.0356,0.0009,0.0008,1.77221E-06
16,0,8,0.0352,0.0421,0.0401,0.002,0.0049,3.93825E-06
16,250,8,0.0347,0.0391,0.0377,0.0014,0.003,2.75677E-06
0,0,8,0.0347,0.0368,0.0361,0.0007,0.0014,1.37839E-06
0,0,8,0.0348,0.421,0.0396,0.3814,0.0048,0.000751024
0,250,8,0.0345,0.041,0.0384,0.0026,0.0039,5.11972E-06
0,0,8,0.0354,0.0459,0.0425,0.0034,0.0071,6.69502E-06
0,0,8,0.0354,0.0427,0.04,0.0027,0.0046,5.31664E-06
0,0,8,0.0352,0.046,0.0423,0.0037,0.0071,7.28576E-06
0,250,8,0.035,0.0388,0.0371,0.0017,0.0021,3.34751E-06
0,0,9,0.0351,0.0454,0.0418,0.0036,0.0067,6.3012E-06
0,250,8,0.0355,0.0429,0.0406,0.0023,0.0051,4.52899E-06
0,250,8,0.0357,0.0405,0.0385,0.002,0.0028,3.93825E-06
16,0,8,0.0356,0.042,0.04,0.002,0.0044,3.93825E-06
0,0,8,0.0372,0.0407,0.0388,0.0019,0.0016,3.74134E-06
0,0,8,0.0345,,,0,-0.0345,0
16,250,7,0.1204,0.13,0.1276,0.0024,0.0072,5.40103E-06
16,250,7,0.1196,0.1228,0.1213,0.0015,0.0017,3.37564E-06
16,0,7,0.1262,0.2708,0.2474,0.0234,0.1212,5.266E-05
16,250,22,0.1251,,,0,-0.1251,0
16,250,6,0.1237,,,0,-0.1237,0
0,0,13,0.1242,,,0,-0.1242,0
16,0,9,0.036,0.042,0.0398,0.0022,0.0038,3.85073E-06
16,250,8,0.0349,0.0395,0.0375,0.002,0.0026,3.93825E-06
0,250,8,0.0357,0.0424,0.0405,0.0019,0.0048,3.74134E-06
16,0,9,0.036,0.0382,0.0382,0,0.0022,0
16,0,9,0.0358,0.0404,0.0386,0.0018,0.0028,3.1506E-06
0,0,8,0.0346,0.0461,0.0407,0.0054,0.0061,1.06333E-05
16,0,9,0.0356,0.0387,0.0371,0.0016,0.0015,2.80053E-06
0,0,8,0.0356,0.045,0.0411,0.0039,0.0055,7.67958E-06
0,0,8,0.036,0.0457,0.0411,0.0046,0.0051,9.05797E-06
