ID,LakeID,SampleDate,Cage.,GenusSpp,MFLength,FoilWt,DryWt,AshMass,DM-Foil,AM-Foil,AFDM
92,10102,40026,0,Ameletus,8.7,0.0239,0.0272,0.0244,0.0033,0.0005,0.0028
93,10102,40026,0,Ameletus,11,0.0266,0.0317,0.0276,0.0051,0.001,0.0041
94,10102,40026,0,Ameletus,8,0.026,0.0277,0.0262,0.0017,0.0002,0.0015
95,10102,40026,0,Ameletus,9.3,0.0299,0.0327,0.0302,0.0028,0.0003,0.0025
96,10102,40026,0,Ameletus,8.2,0.028,0.0302,0.0283,0.0022,0.0003,0.0019
97,10102,40026,0,Ameletus,8.6,0.0319,0.0342,0.0318,0.0023,0,0.0023
98,10102,40026,0,Ameletus,8.4,0.0301,0.0322,0.0304,0.0021,0.0003,0.0018
99,10102,40026,0,Ameletus,6.9,0.024,0.0251,0.0241,0.0011,1E-04,0.001
100,10102,40026,0,Ameletus,7.7,0.03,0.0321,0.0303,0.0021,0.0003,0.0018
101,10102,40026,0,Ameletus,10,0.0299,0.0333,0.0303,0.0034,0.0004,0.003
102,10102,40026,0,Ameletus,7.9,0.0256,0.0282,0.0261,0.0026,0.0005,0.0021
103,10102,40026,0,Ameletus,10.1,0.0243,0.028,0.0249,0.0037,0.0006,0.0031
104,10102,40026,0,Ameletus,10.5,0.0247,0.0291,0.0254,0.0044,0.0007,0.0037
105,10102,40026,0,Ameletus,10.1,0.0354,0.0384,0.035,0.003,0,0.003
106,10102,40026,0,Ameletus,6.9,0.0252,0.0268,0.0257,0.0016,0.0005,0.0011
107,10102,40026,0,Ameletus,6.4,0.0256,0.0264,0.026,0.0008,0.0004,0.0004
108,10102,40026,0,Ameletus,6,0.0241,0.0246,0.0243,0.0005,0.0002,0.0003
109,10102,40049,0,Ameletus,10,0.9893,0.9934,0.9899,0.0041,0.0006,0.0035
110,10102,40049,0,Ameletus,10,1.011,1.0137,1.0119,0.0027,0.0009,0.0018
111,10102,40049,0,Ameletus,8.2,0.9926,0.9939,0.992,0.0013,0,0.0013
112,10102,40049,0,Ameletus,7.8,0.9959,0.9972,0.9951,0.0013,0,0.0013
113,10102,40049,0,Ameletus,9.7,0.9995,1.0028,0.9997,0.0033,0.0002,0.0031
114,10102,40049,0,Ameletus,10.9,0.9701,0.9751,0.9712,0.005,0.0011,0.0039
115,10102,40049,0,Ameletus,9.7,1.0192,1.0219,1.0189,0.0027,0,0.0027
116,10102,40049,0,Ameletus,9.6,1.0013,1.004,1.0016,0.0027,0.0003,0.0024
117,10102,40049,0,Ameletus,11.1,1.0088,1.0141,1.0099,0.0053,0.0011,0.0042
118,10102,40049,0,Ameletus,9.3,0.9995,1.0038,1.001,0.0043,0.0015,0.0028
119,10102,40049,0,Ameletus,8.8,1.0002,1.0024,1,0.0022,0,0.0022
120,10102,40049,0,Ameletus,11.5,1.0163,1.0225,1.0162,0.0062,0,0.0062
121,10102,40049,0,Ameletus,8.7,1.0031,1.0049,1.0034,0.0018,0.0003,0.0015
122,10102,40049,0,Ameletus,8.3,0.9712,0.9728,0.9711,0.0016,0,0.0016
123,10102,40049,0,Ameletus,8.6,1.0285,1.0304,1.0283,0.0019,0,0.0019
124,10102,40049,0,Ameletus,11.5,1.027,1.0314,1.0275,0.0044,0.0005,0.0039
125,10102,40049,0,Ameletus,8.1,0.9945,0.9954,0.9942,0.0009,0,0.0009
126,10102,40049,0,Ameletus,11,0.9668,0.9705,0.9672,0.0037,0.0004,0.0033
127,10102,40049,0,Ameletus,10.6,0.9954,0.9997,0.9962,0.0043,0.0008,0.0035
128,10102,40049,0,Ameletus,9.3,1.0191,1.0229,1.0193,0.0038,0.0002,0.0036
129,10102,40049,0,Ameletus,8.6,0.9899,0.9925,0.9904,0.0026,0.0005,0.0021
130,10102,40049,0,Ameletus,11,1.0018,1.0074,1.0025,0.0056,0.0007,0.0049
131,10102,40049,0,Ameletus,11.8,0.9995,1.0047,1.0002,0.0052,0.0007,0.0045
132,10102,40049,0,Ameletus,9.2,0.967,0.9706,0.9673,0.0036,0.0003,0.0033
133,10102,40049,0,Ameletus,9.6,0.9997,1.0025,1.0004,0.0028,0.0007,0.0021
134,10102,40049,0,Ameletus,10.9,1.0197,1.0242,1.0198,0.0045,1E-04,0.0044
135,10102,40049,0,Ameletus,10.4,1.0032,1.0064,1.0037,0.0032,0.0005,0.0027
136,10102,40049,0,Ameletus,9.4,0.9991,1.0015,0.9995,0.0024,0.0004,0.002
137,10102,40049,0,Ameletus,9.5,0.9858,0.9889,0.9861,0.0031,0.0003,0.0028
138,10102,40049,0,Ameletus,10.5,1.0144,1.021,1.0149,0.0066,0.0005,0.0061
139,10102,40049,0,Ameletus,9.1,1.0073,1.0101,1.0079,0.0028,0.0006,0.0022
140,10102,40049,0,Ameletus,9.3,1.0049,1.0081,1.0053,0.0032,0.0004,0.0028
141,10102,40049,0,Ameletus,9.5,0.991,0.9939,0.9912,0.0029,0.0002,0.0027
142,10102,40049,0,Ameletus,14,1.0146,1.0208,1.0157,0.0062,0.0011,0.0051
143,10102,40049,0,Ameletus,10.1,0.9938,0.9968,0.9943,0.003,0.0005,0.0025
144,10102,40049,0,Ameletus,10.5,0.9923,0.9966,0.9933,0.0043,0.001,0.0033
145,10102,40049,0,Ameletus,10,0.9868,0.9901,0.9873,0.0033,0.0005,0.0028
146,10102,40049,0,Ameletus,9.7,0.9855,0.9895,0.986,0.004,0.0005,0.0035
147,10102,40049,0,Ameletus,9.2,0.9997,1.0036,1.0003,0.0039,0.0006,0.0033
148,10102,40049,0,Ameletus,10,0.977,0.9796,0.9773,0.0026,0.0003,0.0023
149,10102,40049,0,Ameletus,9,0.997,0.9995,0.9976,0.0025,0.0006,0.0019
150,10102,40049,0,Ameletus spp.,9.3,1.0102,1.0125,1.0106,0.0023,0.0004,0.0019
151,10102,40068,0,Ameletus spp.,5.1,1.0173,1.0183,1.0174,0.001,1E-04,0.0009
152,10102,40068,0,Ameletus spp.,4.8,0.9989,0.9993,0.9988,0.0004,0,0.0004
153,10102,40068,0,Ameletus spp.,5,1.0091,1.0096,1.0091,0.0005,0,0.0005
154,10102,40068,0,Ameletus spp.,6.4,0.9956,0.9961,0.9956,0.0005,0,0.0005
155,10102,40068,0,Ameletus spp.,3.7,1.0001,1.0003,1.0001,0.0002,0,0.0002
156,10102,40068,0,Ameletus spp.,5.1,1.0199,1.0205,1.0199,0.0006,0,0.0006
157,10102,40068,0,Callibaetis spp.,3,1.0225,1.0227,1.0225,0.0002,0,0.0002
158,10102,40068,0,Ameletus spp.,4.6,1.0417,1.0421,1.0418,0.0004,1E-04,0.0003
159,10102,40068,0,Ameletus spp.,3.1,1.0346,1.0348,1.0348,0.0002,0.0002,0
160,10102,40068,0,Ameletus spp.,3.2,0.9831,0.9833,0.9831,0.0002,0,0.0002
161,10102,40068,0,Ameletus spp.,3.1,1.005,1.0051,1.0048,0.0001,0,0.0001
162,10102,40068,0,Ameletus spp.,3,0.9802,0.9805,0.9801,0.0003,0,0.0003
163,10102,40068,0,Ameletus spp.,4.7,0.998,0.9985,0.998,0.0005,0,0.0005
164,10102,40068,0,Ameletus spp.,3.3,1.013,1.0132,1.013,0.0002,0,0.0002
165,10102,40068,0,Ameletus spp.,4.2,1.0027,1.0031,1.0026,0.0004,0,0.0004
166,10102,40068,0,Ameletus spp.,3.9,0.9973,0.9975,0.9973,0.0002,0,0.0002
167,10102,40068,0,Ameletus spp.,4,1.0226,1.0229,1.0225,0.0003,0,0.0003
168,10102,40068,0,Ameletus spp.,2.9,0.9858,0.9859,0.9857,1E-04,0,1E-04
169,10102,40068,0,Ameletus spp.,5.3,0.9915,0.992,0.9918,0.0005,0.0003,0.0002
170,10102,40068,0,Ameletus spp.,6.5,0.9882,0.989,0.9883,0.0008,1E-04,0.0007
171,10102,40068,0,Ameletus spp.,10.8,0.9756,0.9785,0.9757,0.0029,1E-04,0.0028
172,10102,40068,0,Ameletus spp.,9.6,0.9995,1.0024,0.9996,0.0029,1E-04,0.0028
173,10102,40068,0,Ameletus spp.,9.3,0.9787,0.9816,0.9792,0.0029,0.0005,0.0024
174,10102,40068,0,Ameletus spp.,9.8,0.9913,0.9958,0.9915,0.0045,0.0002,0.0043
175,10102,40068,0,Ameletus spp.,9.4,1.0168,1.0198,1.017,0.003,0.0002,0.0028
176,10102,40068,0,Ameletus spp.,10.8,1.0157,1.0194,1.016,0.0037,0.0003,0.0034
177,10102,40068,0,Ameletus spp.,10.7,1.0184,1.0223,1.0184,0.0039,0,0.0039
178,10102,40068,0,Ameletus spp.,9.3,1.026,1.0297,1.0261,0.0037,1E-04,0.0036
179,10102,40068,6,Ameletus spp.,9.8,0.9802,0.9844,0.9808,0.0042,0.0006,0.0036
180,10102,40068,6,Ameletus spp.,10.8,1.0225,1.0267,1.0226,0.0042,1E-04,0.0041
181,10102,40068,6,Ameletus spp.,5.1,0.998,0.999,0.9982,0.001,0.0002,0.0008
182,10102,40068,6,Ameletus spp.,5.7,0.9973,0.9982,0.9973,0.0009,0,0.0009
183,10102,40068,6,Ameletus spp.,5.5,1.008,1.0095,1.009,0.0015,0.001,0.0005
184,10102,40068,6,Ameletus spp.,10.7,1.0416,1.0469,1.042,0.0053,0.0004,0.0049
185,10102,40068,6,Ameletus spp.,11,1.0176,1.0205,1.0176,0.0029,0,0.0029
186,10102,40068,6,Ameletus spp.,12,1.0004,1.0048,1.0003,0.0044,0,0.0044
187,10102,40068,8,Ameletus spp.,11.4,1.0129,1.0154,1.013,0.0025,0,0.0025
188,10102,40068,8,Ameletus spp.,5.7,1.018,1.0188,1.0183,0.0008,0.0003,0.0005
189,10102,40068,8,Ameletus spp.,4.6,0.9757,0.976,0.9755,0.0003,0,0.0003
190,10102,40068,8,Ameletus spp.,9.5,0.9956,0.9988,0.9958,0.0032,0.0002,0.003
191,10102,40068,8,Ameletus spp.,9.9,0.9989,1.0026,0.9996,0.0037,0.0007,0.003
192,10102,40068,8,Ameletus spp.,5,1.0348,1.0354,1.0349,0.0006,1E-04,0.0005
193,10102,40068,8,Ameletus spp.,10.8,0.983,0.9877,0.9838,0.0047,0.0008,0.0039
194,10102,40068,8,Ameletus spp.,10.2,1.0027,1.0065,1.0032,0.0038,0.0005,0.0033
195,10102,40068,8,Ameletus spp.,10.2,1.0049,1.0088,1.0052,0.0039,0.0003,0.0036
196,10102,40068,8,Ameletus spp.,5.2,1.0199,1.0204,1.0201,0.0005,0.0002,0.0003
197,10102,40068,8,Ameletus spp.,5.4,1.0157,1.0162,1.0157,0.0005,0,0.0005
198,10102,40068,8,Ameletus spp.,3.5,1.0166,1.0171,1.0167,0.0005,1E-04,0.0004
199,10102,40068,8,Ameletus spp.,10.4,0.9786,0.9824,0.979,0.0038,0.0004,0.0034
200,10102,40068,8,Ameletus spp.,10,0.9915,0.9949,0.9919,0.0034,0.0004,0.003
201,10102,40068,8,Ameletus spp.,9,1.0226,1.0262,1.022,0.0036,0,0.0036
202,10102,40068,8,Ameletus spp.,9.4,0.9897,0.9932,0.9902,0.0035,0.0005,0.003
203,10102,40068,8,Ameletus spp.,10.6,0.9856,0.9896,0.9858,0.004,0.0002,0.0038
204,10102,40068,8,Ameletus spp.,4.4,0.9994,0.9998,0.9994,0.0004,0,0.0004
205,10102,40068,8,Ameletus spp.,9.5,0.9881,0.9908,0.9882,0.0027,1E-04,0.0026
206,10102,40068,8,Ameletus spp.,10,1.0258,1.0302,1.0262,0.0044,0.0004,0.004
207,10102,40068,8,Ameletus spp.,10,0.9709,0.9748,0.9708,0.0039,0,0.0039
208,10102,40068,8,Ameletus spp.,9.3,0.9857,0.9885,0.9859,0.0028,0.0002,0.0026
209,10102,40068,8,Ameletus spp.,11.3,0.9918,0.9968,0.9924,0.005,0.0006,0.0044
210,10102,40068,8,Ameletus spp.,8.6,1.0197,1.0227,1.0199,0.003,0.0002,0.0028
211,10102,40068,8,Ameletus spp.,3.8,1.0102,1.0101,1.01,0,0,0
212,10102,40068,8,Ameletus spp.,3.5,0.9936,0.9939,0.9939,0.0003,0.0003,0
213,10102,40068,8,Ameletus spp.,3.5,0.9773,0.9771,0.9769,0,0,0
214,10102,40068,8,Ameletus spp.,6.4,1.0279,1.0284,1.0279,0.0005,0,0.0005
215,10102,40068,8,Ameletus spp.,5.9,1.0049,1.0055,1.0048,0.0006,0,0.0006
216,10102,40068,5,Ameletus spp.,7.6,0.9959,0.9975,0.9959,0.0016,0,0.0016
217,10102,40068,5,Ameletus spp.,8.9,1.0026,1.0045,1.0028,0.0019,0.0002,0.0017
218,10102,40068,5,Ameletus spp.,8.6,0.9901,0.9921,0.9902,0.002,1E-04,0.0019
219,10102,40068,5,Ameletus spp.,8.7,0.9858,0.9877,,0.0019,0,0.0019
220,10102,40068,5,Ameletus spp.,8.3,0.9927,0.9943,0.993,0.0016,0.0003,0.0013
221,10102,40068,5,Ameletus spp.,8.4,1.0074,1.0093,1.0076,0.0019,0.0002,0.0017
222,10102,40068,5,Ameletus spp.,8.2,0.9996,1.0012,0.9998,0.0016,0.0002,0.0014
223,10102,40068,5,Ameletus spp.,8.2,0.9969,0.9988,0.997,0.0019,1E-04,0.0018
224,10102,40068,5,Ameletus spp.,10.3,0.9666,0.9696,0.967,0.003,0.0004,0.0026
225,10102,40068,5,Ameletus spp.,9.9,0.9868,0.9887,0.987,0.0019,0.0002,0.0017
226,10102,40068,5,Ameletus spp.,8.5,1.0013,1.0032,1.0012,0.0019,0,0.0019
227,10102,40068,5,Ameletus spp.,8.6,0.9954,0.9975,0.9959,0.0021,0.0005,0.0016
228,10102,40068,5,Ameletus spp.,9.9,0.9896,0.9919,0.9898,0.0023,0.0002,0.0021
229,10102,40068,5,Ameletus spp.,9.3,1.0156,1.0178,1.0156,0.0022,0,0.0022
230,10102,40068,5,Ameletus spp.,12.1,1.0091,1.0111,1.009,0.002,0,0.002
231,10102,40068,5,Ameletus spp.,10.5,1.0266,1.0276,1.0266,0.001,0,0.001
232,10102,40068,5,Ameletus spp.,8.9,0.9704,0.9726,0.9704,0.0022,0,0.0022
233,10102,40068,5,Ameletus spp.,9.8,1.0158,1.0182,1.016,0.0024,0.0002,0.0022
234,10102,40068,5,Ameletus spp.,9.2,1.0144,1.0168,1.0147,0.0024,0.0003,0.0021
235,10102,40068,5,Ameletus spp.,10,0.9995,1.002,0.9998,0.0025,0.0003,0.0022
236,10102,40068,5,Ameletus spp.,8.1,0.9939,0.9956,0.9938,0.0017,0,0.0017
237,10102,40068,5,Ameletus spp.,9.3,0.9996,1.0017,0.9994,0.0021,0,0.0021
238,10102,40068,5,Ameletus spp.,8.3,1.0033,1.005,1.003,0.0017,0,0.0017
239,10102,40068,7,Ameletus spp.,10.4,0.9673,0.9721,0.9673,0.0048,0,0.0048
240,10102,40068,5,Ameletus spp.,10.1,1.0021,1.0048,1.0022,0.0027,1E-04,0.0026
241,10102,40068,7,Ameletus spp.,10.5,1.011,1.0152,1.0114,0.0042,0.0004,0.0038
242,10102,40068,7,Ameletus spp.,10.9,1.0187,1.0238,1.019,0.0051,0.0003,0.0048
243,10102,40068,5,Ameletus spp.,8.4,0.9907,0.9928,0.9909,0.0021,0.0002,0.0019
244,10102,40068,7,Ameletus spp.,10.6,1.0191,1.0231,1.0196,0.004,0.0005,0.0035
245,10102,40068,7,Ameletus spp.,11.6,0.9995,1.0047,0.9999,0.0052,0.0004,0.0048
246,10102,40068,17,Ameletus spp.,9.4,0.9998,1.0029,0.9997,0.0031,0,0.0031
247,10102,40068,17,Ameletus spp.,10.1,0.9991,1.0039,0.9994,0.0048,0.0003,0.0045
248,10102,40068,17,Ameletus spp.,10.8,0.0009,1.0055,1.0009,1.0046,1,0.0046
249,10102,40068,17,Ameletus spp.,10,1.0179,1.0221,1.018,0.0042,1E-04,0.0041
250,10102,40068,17,Ameletus spp.,10.5,1.0266,1.0304,1.0268,0.0038,0.0002,0.0036
251,10102,40068,16,Ameletus spp.,10,1.0125,1.0165,1.0126,0.004,1E-04,0.0039
252,10102,40068,16,Ameletus spp.,10.4,0.9817,0.9846,0.982,0.0029,0.0003,0.0026
253,10102,40068,7,Ameletus spp.,6.2,0.9767,0.9775,0.9765,0.0008,0,0.0008
254,10102,40068,7,Ameletus spp.,5.3,0.9969,0.9972,0.9967,0.0003,0,0.0003
255,10102,40068,7,Ameletus spp.,9.7,1.0027,1.0063,1.0032,0.0036,0.0005,0.0031

