TadDens,MFDens,AlgGrowRate,
20,125,8.69565E-06,
20,250,8.69565E-05,
10,0,0.00023913,
2,250,3.47826E-05,
10,250,3.91304E-05,
0,25,0.00026087,
10,25,0.0002,
2,125,6.08696E-05,
2,0,0.000230435,
0,125,5.65217E-05,
0,250,0.000113043,
20,25,0.000265217,
2,25,0.000195652,
10,125,0.000178261,
20,0,0.000317391,
0,0,0.000634783,
