LakeID,Date,ExpDate,TempMax,TempMin,TempAvg,TempRange
10475,24-Aug-2009,43,16,13.5,14.375,2.5
10475,25-Aug-2009,44,16.5,13,14.5,3.5
10475,26-Aug-2009,45,17,13.5,14.70833333,3.5
10475,27-Aug-2009,46,16.5,13.5,14.72916667,3
10475,28-Aug-2009,47,15.5,13.5,14.45833333,2
10475,29-Aug-2009,48,16.5,13.5,14.52083333,3
10475,30-Aug-2009,49,16,13.5,14.41666667,2.5
10475,31-Aug-2009,50,15.5,13.5,14.125,2
10475,1-Sep-2009,51,15.5,13,13.77083333,2.5
10475,2-Sep-2009,52,15.5,12.5,13.45833333,3
10475,3-Sep-2009,53,13.5,13,13.1875,0.5
10475,4-Sep-2009,54,14,12.5,12.91666667,1.5
10475,5-Sep-2009,55,14.5,12,12.85416667,2.5
10475,6-Sep-2009,56,14,12,12.9375,2
10475,7-Sep-2009,57,15,12.5,13.20833333,2.5
10475,8-Sep-2009,58,15.5,12.5,13.5,3
10475,9-Sep-2009,59,15.5,12.5,13.625,3
10475,10-Sep-2009,60,16,12.5,13.91666667,3.5
10475,11-Sep-2009,61,15.5,13,13.89583333,2.5
10475,12-Sep-2009,62,14,13,13.29166667,1
10475,13-Sep-2009,63,14.5,12.5,13.22916667,2
10475,14-Sep-2009,64,14,12.5,12.83333333,1.5
10475,15-Sep-2009,65,14.5,12,12.95833333,2.5
10475,16-Sep-2009,66,15,12,13.075,3
