SamplePeriod,meanSampleTemp,totalSampleTemp,light,PctBoulder,PctCobble,PctGravel,PctSand,PctSilt,PctBedrock,elevation
18,14.69791667,293.9583333,2000,0,100,0,0,0,0,3510
18,13.24494048,185.4291667,2000,50,25,25,0,0,0,3510
18,13.24494048,185.4291667,2000,0,62.5,0,37.5,0,0,3510
18,13.24494048,185.4291667,2000,0,0,50,0,50,0,3510
18,13.24494048,185.4291667,2000,0,0,87.5,12.5,0,0,3510
18,13.24494048,185.4291667,2000,50,50,0,0,0,0,3510
18,13.24494048,185.4291667,2000,0,0,62.5,0,37.5,0,3510
18,13.24494048,185.4291667,1950,0,0,50,25,25,0,3510
18,13.24494048,185.4291667,2000,0,100,0,0,0,0,3510
18,13.24494048,185.4291667,2000,0,50,0,0,50,0,3510
18,13.24494048,185.4291667,2000,0,50,50,0,0,0,3510
18,13.24494048,185.4291667,2000,37.5,62.5,0,0,0,0,3510
18,13.24494048,185.4291667,1900,0,100,0,0,0,0,3510
18,13.24494048,185.4291667,2000,0,25,37.5,0,37.5,0,3510
18,13.24494048,185.4291667,2000,0,25,75,0,0,0,3510
18,13.24494048,185.4291667,2000,0,50,50,0,0,0,3510
18,13.24494048,185.4291667,2000,0,100,0,0,0,0,3510
18,13.24494048,185.4291667,2000,0,25,75,0,0,0,3510
