6/29/09 7:00:00 AM,C,18.5
6/29/09 8:00:00 AM,C,17.5
6/29/09 9:00:00 AM,C,24.5
6/29/09 10:00:00 AM,C,26
6/29/09 11:00:00 AM,C,24.5
6/29/09 12:00:00 PM,C,23.5
6/29/09 1:00:00 PM,C,24.5
6/29/09 2:00:00 PM,C,24.5
6/29/09 3:00:00 PM,C,25
6/29/09 4:00:00 PM,C,24.5
6/29/09 5:00:00 PM,C,24
6/29/09 6:00:00 PM,C,21
6/29/09 7:00:00 PM,C,18.5
6/29/09 8:00:00 PM,C,16.5
6/29/09 9:00:00 PM,C,14
6/29/09 10:00:00 PM,C,12
6/29/09 11:00:00 PM,C,11
6/30/09 12:00:00 AM,C,9.5
6/30/09 1:00:00 AM,C,8.5
6/30/09 2:00:00 AM,C,7.5
6/30/09 3:00:00 AM,C,7
6/30/09 4:00:00 AM,C,6.5
6/30/09 5:00:00 AM,C,6
6/30/09 6:00:00 AM,C,5.5
6/30/09 7:00:00 AM,C,6
6/30/09 8:00:00 AM,C,10.5
6/30/09 9:00:00 AM,C,14.5
6/30/09 10:00:00 AM,C,12.5
6/30/09 11:00:00 AM,C,13
6/30/09 12:00:00 PM,C,11
6/30/09 1:00:00 PM,C,12.5
6/30/09 2:00:00 PM,C,23
6/30/09 3:00:00 PM,C,24.5
6/30/09 4:00:00 PM,C,24.5
6/30/09 5:00:00 PM,C,26.5
6/30/09 6:00:00 PM,C,29.5
6/30/09 7:00:00 PM,C,24
6/30/09 8:00:00 PM,C,15.5
6/30/09 9:00:00 PM,C,10.5
6/30/09 10:00:00 PM,C,10.5
6/30/09 11:00:00 PM,C,9.5
7/1/09 12:00:00 AM,C,8.5
7/1/09 1:00:00 AM,C,8
7/1/09 2:00:00 AM,C,7.5
7/1/09 3:00:00 AM,C,7
7/1/09 4:00:00 AM,C,6.5
7/1/09 5:00:00 AM,C,6
7/1/09 6:00:00 AM,C,5.5
7/1/09 7:00:00 AM,C,5
7/1/09 8:00:00 AM,C,5.5
7/1/09 9:00:00 AM,C,11.5
7/1/09 10:00:00 AM,C,24
7/1/09 11:00:00 AM,C,31
7/1/09 12:00:00 PM,C,38
7/1/09 1:00:00 PM,C,39
7/1/09 2:00:00 PM,C,35.5
7/1/09 3:00:00 PM,C,34
7/1/09 4:00:00 PM,C,27.5
7/1/09 5:00:00 PM,C,27.5
7/1/09 6:00:00 PM,C,26
7/1/09 7:00:00 PM,C,24
7/1/09 8:00:00 PM,C,24
7/1/09 9:00:00 PM,C,24
7/1/09 10:00:00 PM,C,23.5
7/1/09 11:00:00 PM,C,21.5
7/2/09 12:00:00 AM,C,20
7/2/09 1:00:00 AM,C,18
7/2/09 2:00:00 AM,C,16.5
7/2/09 3:00:00 AM,C,15
7/2/09 4:00:00 AM,C,14.5
7/2/09 5:00:00 AM,C,13.5
7/2/09 6:00:00 AM,C,13
7/2/09 7:00:00 AM,C,14.5
7/2/09 8:00:00 AM,C,20.5
7/2/09 9:00:00 AM,C,24.5
7/2/09 10:00:00 AM,C,28
7/2/09 11:00:00 AM,C,27.5
7/2/09 12:00:00 PM,C,30.5
7/2/09 1:00:00 PM,C,35
7/2/09 2:00:00 PM,C,38.5
7/2/09 3:00:00 PM,C,37.5
7/2/09 4:00:00 PM,C,34.5
7/2/09 5:00:00 PM,C,34
7/2/09 6:00:00 PM,C,34
7/2/09 7:00:00 PM,C,33.5
7/2/09 8:00:00 PM,C,33.5
7/2/09 9:00:00 PM,C,33
7/2/09 10:00:00 PM,C,32
7/2/09 11:00:00 PM,C,30.5
7/3/09 12:00:00 AM,C,28.5
7/3/09 1:00:00 AM,C,27.5
7/3/09 2:00:00 AM,C,26
7/3/09 3:00:00 AM,C,24.5
7/3/09 4:00:00 AM,C,23.5
7/3/09 5:00:00 AM,C,22
7/3/09 6:00:00 AM,C,21
7/3/09 7:00:00 AM,C,20.5
7/3/09 8:00:00 AM,C,20
7/3/09 9:00:00 AM,C,20.5
7/3/09 10:00:00 AM,C,22.5
7/3/09 11:00:00 AM,C,24.5
7/3/09 12:00:00 PM,C,25
7/3/09 1:00:00 PM,C,25.5
7/3/09 2:00:00 PM,C,29.5
7/3/09 3:00:00 PM,C,30.5
7/3/09 4:00:00 PM,C,34.5
7/3/09 5:00:00 PM,C,34.5
7/3/09 6:00:00 PM,C,38.5
7/3/09 7:00:00 PM,C,31.5
7/3/09 8:00:00 PM,C,28
7/3/09 9:00:00 PM,C,25
7/3/09 10:00:00 PM,C,23.5
7/3/09 11:00:00 PM,C,22.5
7/4/09 12:00:00 AM,C,21
7/4/09 1:00:00 AM,C,20
7/4/09 2:00:00 AM,C,19
7/4/09 3:00:00 AM,C,18
7/4/09 4:00:00 AM,C,17
7/4/09 5:00:00 AM,C,16
7/4/09 6:00:00 AM,C,15.5
7/4/09 7:00:00 AM,C,15.5
7/4/09 8:00:00 AM,C,18.5
7/4/09 9:00:00 AM,C,20
7/4/09 10:00:00 AM,C,21
7/4/09 11:00:00 AM,C,21.5
7/4/09 12:00:00 PM,C,22.5
7/4/09 1:00:00 PM,C,25
7/4/09 2:00:00 PM,C,28
7/4/09 3:00:00 PM,C,31
7/4/09 4:00:00 PM,C,33
7/4/09 5:00:00 PM,C,35
7/4/09 6:00:00 PM,C,34
7/4/09 7:00:00 PM,C,29.5
7/4/09 8:00:00 PM,C,27.5
7/4/09 9:00:00 PM,C,26
7/4/09 10:00:00 PM,C,23.5
7/4/09 11:00:00 PM,C,21.5
7/5/09 12:00:00 AM,C,19.5
7/5/09 1:00:00 AM,C,18
7/5/09 2:00:00 AM,C,16
7/5/09 3:00:00 AM,C,14.5
7/5/09 4:00:00 AM,C,13
7/5/09 5:00:00 AM,C,11.5
7/5/09 6:00:00 AM,C,10
7/5/09 7:00:00 AM,C,9
7/5/09 8:00:00 AM,C,8
7/5/09 9:00:00 AM,C,7.5
7/5/09 10:00:00 AM,C,16
